#       step         max_devi_v         min_devi_v         avg_devi_v         max_devi_f         min_devi_f         avg_devi_f
           0       3.324000e-03       1.128714e-08       1.574861e-03       2.253589e-02       6.074935e-03       1.059990e-02
          40       1.096224e-02       1.167189e-04       4.695451e-03       6.021792e-02       8.413287e-03       2.668862e-02
          80       1.372368e-02       1.299026e-04       6.039870e-03       5.683618e-02       1.257298e-02       2.626449e-02
         120       1.273904e-02       2.293822e-04       5.232302e-03       5.710498e-02       1.385383e-02       2.698699e-02
         160       1.134678e-02       3.585701e-04       4.999873e-03       6.158279e-02       7.715894e-03       2.891383e-02
         200       7.571474e-03       4.308733e-04       3.554297e-03       5.063614e-02       9.774166e-03       2.412813e-02
         240       7.115899e-03       1.449813e-04       3.485773e-03       4.254877e-02       7.628806e-03       2.360841e-02
         280       9.609272e-03       5.609308e-04       3.968940e-03       4.989515e-02       8.853151e-03       2.686152e-02
         320       7.618596e-03       8.682507e-04       3.785163e-03       6.674238e-02       9.693575e-03       3.296787e-02
         360       8.913201e-03       5.647568e-04       4.222929e-03       7.523359e-02       7.886007e-03       2.741899e-02
